Species,groups_new,groups_old,functional_name,Diet,TrophicLevel,MaxSizeTL,ReefPosition,FeedingType,Solitary,Schooling,Shoaling,Cluster,PC1,PC2
Caranx melampygus,group4,group4,GenPred_schooling,Piscivoro,4.49,85,reef-associated,hunting macrofauna (predator),0,1,0,3,-2.173095342142819,0.30948815413657815
Caranx sexfasciatus,group4,group4,GenPred_schooling,Piscivoro,4.5,90,reef-associated,hunting macrofauna (predator),0,1,0,3,-2.222608640579061,0.29716800530268905
Cephalopholis panamensis,group5,group5,GenPred_solitary,Piscivoro,4,55,reef-associated,hunting macrofauna (predator),1,0,0,6,-1.668444846807271,-0.3447768888808284
Chaetodipterus zonatus,group4,group4,Crip_schooling,Carnivoro,3.3,40,reef-associated,variable,0,1,0,7,1.3420621649739024,-0.14990037374055354
Chaetodon humeralis,group3,group3,Crip_solitary,Carnivoro,2.7,45,reef-associated,variable,0,1,0,7,1.6603322356598174,-0.37108646985286164
Chanos chanos,group3,group3,Crip_solitary,Carnivoro,2.4,100,benthopelagic,grazing on aquatic plants,0,1,0,2,0.9918421255466578,-1.1175186623086784
Chilomycterus reticulatus,group3,group3,Crip_solitary,Carnivoro,3.45,55,reef-associated,variable,1,0,0,6,1.0694850186173928,-0.7267250005201247
Chromis alta,group1,group1,Plank,Zooplanctivoro,3.4,15,reef-associated,selective plankton feeding,0,1,0,4,2.3045409486675124,3.5757171607006963
Chromis limbaughi,group1,group1,Plank,Zooplanctivoro,3.4,45,reef-associated,selective plankton feeding,0,1,0,4,2.0436365714063385,3.4812520761617796
Cirrhitichthys oxycephalus,group3,group3,Crip_solitary,Carnivoro,4.01,75,reef-associated,hunting macrofauna (predator),1,0,0,6,-0.9504462079884572,-0.49766953445186257
Cirrhitus rivulatus,group5,group5,GenPred_solitary,Piscivoro,4.02,80,reef-associated,hunting macrofauna (predator),1,0,0,6,-1.897923632310342,-0.4166497288180651
Decapterus macarellus,group6,group6,Pelagic,Carnivoro,3.96,20,pelagic-oceanic,selective plankton feeding,0,1,0,7,0.5349188654382961,2.953271860140324
